continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,10143700,55.5,192.286838136
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,10384222.6,56.824,192.2820876355
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,10624745.2,58.148,199.8447925132
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2013,10865267.8,59.472,195.0343092326
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2014,11105790.4,60.796,181.1217326774
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2015,11346313,62.12,183.2048877904
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2016,11586835.6,63.444,185.0634697881
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2017,11827358.2,64.768,174.2062737222
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2018,12067880.8,66.092,182.0949374972
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2019,12308403.4,67.416,188.6759740098
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2020,12548926,68.74,195.267706575
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2021,12789448.6,70.064,192.4086078269
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2022,13029971.2,71.388,194.8584506465
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2023,13270493.8,72.712,179.7069525778
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2024,13511016.4,74.036,174.5464538108
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6077900,76.5,189.1936359598
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6155760.9,77.228,198.8868670971
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6233621.8,77.956,192.68092267
HIMACHAL PRADESH,HIMACHAL PRADESH,2013,6311482.7,78.684,195.2948393568
HIMACHAL PRADESH,HIMACHAL PRADESH,2014,6389343.6,79.412,193.2123356146
HIMACHAL PRADESH,HIMACHAL PRADESH,2015,6467204.5,80.14,202.4522341918
HIMACHAL PRADESH,HIMACHAL PRADESH,2016,6545065.4,80.868,217.2934742562
HIMACHAL PRADESH,HIMACHAL PRADESH,2017,6622926.3,81.596,211.0245436372
HIMACHAL PRADESH,HIMACHAL PRADESH,2018,6700787.2,82.324,198.7079965769
HIMACHAL PRADESH,HIMACHAL PRADESH,2019,6778648.1,83.052,192.5015107363
HIMACHAL PRADESH,HIMACHAL PRADESH,2020,6856509,83.78,208.7359616971
HIMACHAL PRADESH,HIMACHAL PRADESH,2021,6934369.9,84.508,181.0835040686
HIMACHAL PRADESH,HIMACHAL PRADESH,2022,7012230.8,85.236,196.0859588364
HIMACHAL PRADESH,HIMACHAL PRADESH,2023,7090091.7,85.964,199.7153294928
HIMACHAL PRADESH,HIMACHAL PRADESH,2024,7167952.6,86.692,197.5459491738
PUNJAB,PUNJAB,2010,24358999,69.7,114.0194636077
PUNJAB,PUNJAB,2011,24693522.7,70.398,116.6054772736
PUNJAB,PUNJAB,2012,25028046.4,71.096,114.8951042379
PUNJAB,PUNJAB,2013,25362570.1,71.794,101.0544274454
PUNJAB,PUNJAB,2014,25697093.8,72.492,105.5994900093
PUNJAB,PUNJAB,2015,26031617.5,73.19,123.1886570245
PUNJAB,PUNJAB,2016,26366141.2,73.888,135.7536536291
PUNJAB,PUNJAB,2017,26700664.9,74.586,132.2588786918
PUNJAB,PUNJAB,2018,27035188.6,75.284,131.4767968735
PUNJAB,PUNJAB,2019,27369712.3,75.982,133.8998364261
PUNJAB,PUNJAB,2020,27704236,76.68,125.9121529285
PUNJAB,PUNJAB,2021,28038759.7,77.378,127.6447331584
PUNJAB,PUNJAB,2022,28373283.4,78.076,129.2307255494
PUNJAB,PUNJAB,2023,28707807.1,78.774,129.449107243
PUNJAB,PUNJAB,2024,29042330.8,79.472,130.7849575214
CHANDIGARH,CHANDIGARH,2010,900635,81.9,377.1783241824
CHANDIGARH,CHANDIGARH,2011,916040.1,82.353,415.4839946417
CHANDIGARH,CHANDIGARH,2012,931445.2,82.806,301.2522905266
CHANDIGARH,CHANDIGARH,2013,946850.3,83.259,305.1168701114
CHANDIGARH,CHANDIGARH,2014,962255.4,83.712,325.5892354566
CHANDIGARH,CHANDIGARH,2015,977660.5,84.165,319.7428964349
CHANDIGARH,CHANDIGARH,2016,993065.6,84.618,366.8438419375
CHANDIGARH,CHANDIGARH,2017,1008470.7,85.071,389.7981369216
CHANDIGARH,CHANDIGARH,2018,1023875.8,85.524,347.2100815353
